"Well","Content","OD405","pct_B_B0","predicted_conc","result_flag","Plate","Experiment","Drug","Infection"
"D5","Exp3 C0 L100 (1/1)",0.517,60.5006954102921,59.4576764390377,"OK","Plate3","Exp3","C0","L100"
"D6","Exp3 C10 L100 (1/1)",0.327,28.7899860917942,226.487827159083,"OK","Plate3","Exp3","C10","L100"
"D7","Exp4 C0 B100 (1/1)",0.414,43.3101529902642,120.829458687472,"OK","Plate3","Exp4","C0","B100"
"D8","Exp4 C10 B100 (1/1)",0.439,47.4826147426982,102.048172329127,"OK","Plate3","Exp4","C10","B100"
"D9","Exp4 C0 L100 (1/1)",0.56,67.6773296244784,42.6435426108033,"OK","Plate3","Exp4","C0","L100"
"E10","Exp4 C100 L0 (1/1)",0.472,52.990264255911,81.6040532987252,"OK","Plate3","Exp4","C100","L0"
"E11","",0.378,37.3018080667594,154.920536996829,"OK","Plate3","","",""
"E12","",0.154,-0.0834492350486788,NA,"> 1000","Plate3","","",""
"E4","Exp3 C100 B0 (1/1)",0.533,63.1710709318498,52.7846871899905,"OK","Plate3","Exp3","C100","B0"
"E5","Exp3 C1 L0 (1/1)",0.363,34.798331015299,172.457070225936,"OK","Plate3","Exp3","C1","L0"
"E6","Exp3 C100 L0 (1/1)",0.443,48.1502086230876,99.332728071772,"OK","Plate3","Exp3","C100","L0"
"E7","Exp4 C1 B0 (1/1)",0.388,38.970792767733,144.437570220928,"OK","Plate3","Exp4","C1","B0"
"E8","Exp4 C100 B0 (1/1)",0.515,60.1668984700974,60.3308529413514,"OK","Plate3","Exp4","C100","B0"
"E9","Exp4 C1 L0 (1/1)",0.453,49.8191933240612,92.8485785765078,"OK","Plate3","Exp4","C1","L0"
"F10","Exp4 C100 L1 (1/1)",0.467,52.1557719054242,84.4368788644411,"OK","Plate3","Exp4","C100","L1"
"F11","",0.391,39.471488178025,141.459192241345,"OK","Plate3","","",""
"F12","",0.147,-1.25173852573018,NA,"> 1000","Plate3","","",""
"F4","Exp3 C100 B1 (1/1)",0.54,64.3393602225313,50.0285875925851,"OK","Plate3","Exp3","C100","B1"
"F5","Exp3 C1 L1 (1/1)",0.458,50.653685674548,89.7595382825211,"OK","Plate3","Exp3","C1","L1"
"F6","Exp3 C100 L1 (1/1)",0.445,48.4840055632823,98.0018108513723,"OK","Plate3","Exp3","C100","L1"
"F7","Exp4 C1 B1 (1/1)",0.371,36.1335187760779,162.812775577141,"OK","Plate3","Exp4","C1","B1"
"F8","Exp4 C100 B1 (1/1)",0.585,71.8497913769124,34.3074195136602,"OK","Plate3","Exp4","C100","B1"
"F9","Exp4 C1 L1 (1/1)",0.468,52.3226703755216,83.8634397359985,"OK","Plate3","Exp4","C1","L1"
"G10","Exp4 C100 L10 (1/1)",0.455,50.1529902642559,91.601201838235,"OK","Plate3","Exp4","C100","L10"
